match_date,match_time,match_id,hometeam,awayteam,bet_name,probability,odds,
2025-09-13,17:00:00,2288577,Eyüpspor,Galatasaray,"Deplasman Gol Alt/Üst :: Dep 2,5 Alt",74,"1,51",
2025-09-14,20:15:00,2287905,Haugesund,Rosenborg,"Deplasman Gol Alt/Üst :: Dep 2,5 Alt",74,"1,49",
2025-09-14,01:00:00,2288561,Estudiantes,River Plate,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",74,"1,36",
2025-09-14,22:00:00,2288066,Juventude,Flamengo,Deplasman Gol Yemeden Kazanır mı? :: Hayır,74,"1,38",
2025-09-14,16:00:00,2288690,Burnley,Liverpool,"Deplasman Gol Alt/Üst :: Dep 2,5 Alt",74,"1,46",
2025-09-14,17:00:00,2288958,Nordsjælland,Midtjylland,İkinci Yarı Karşılıklı Gol :: 2.Y KG Yok,74,"1,36",
2025-09-12,18:30:00,2339620,GOL Gohar,Sepehan,"Toplam Gol Alt/Üst :: 1,5 Üst",73,"1,43",
2025-09-12,20:30:00,2372648,Deportivo,C. Cordoba,"Toplam Gol Alt/Üst :: 1,5 Üst",73,"1,47",
2025-09-13,19:45:00,2285306,NEC Nijmegen,PSV,"Deplasman Gol Alt/Üst :: Dep 2,5 Alt",73,"1,46",
2025-09-13,17:15:00,2288908,R. Sociedad,Real Madrid,"Ev Sahibi Gol Alt/Üst :: Ev 0,5 Üst",73,"1,38",
2025-09-13,03:15:00,2288382,New Old Boys,Atl. Tucuman,"Toplam Gol Alt/Üst :: 1,5 Üst",73,"1,37",
2025-09-13,19:00:00,2352321,Seinöjoen,Helsinki,İkinci Yarı Karşılıklı Gol :: 2.Y KG Yok,73,"1,37",
2025-09-13,17:00:00,2285389,Portadown,Coleraine,"Ev Sahibi Gol Alt/Üst :: Ev 0,5 Üst",73,"1,42",
2025-09-14,19:15:00,2288754,Zamora,Lugo,İlk Yarı Gol Tek/Çift :: İY Çift,73,"1,41",
2025-09-14,23:30:00,2288079,Rosario C.,Boca Juniors,"Toplam Gol Alt/Üst :: 1,5 Üst",73,"1,44",
2025-09-12,18:30:00,2339620,GOL Gohar,Sepehan,"Ev Sahibi Gol Alt/Üst :: Ev 0,5 Üst",72,"1,6",
2025-09-12,02:00:00,2288333,CA Belgrano,S Martin SJ,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",72,"1,5",
2025-09-13,22:05:00,2288856,Auxerre,Monaco,"Toplam Gol Alt/Üst :: 3,5 Alt",72,"1,4",
2025-09-13,19:30:00,2284994,Bayern Münih,Hamburg,"Toplam Gol Alt/Üst :: 4,5 Alt",72,"1,44",
2025-09-13,16:00:00,2286067,Pescara C.,Venezia,"Ev Sahibi Gol Alt/Üst :: Ev 0,5 Üst",72,"1,39",
2025-09-13,01:00:00,2372573,Huracan,Velez,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",72,"1,58",
2025-09-13,20:30:00,2288331,Godoy Cruz,Barracas,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",72,"1,46",
2025-09-13,01:00:00,2372574,Racing,San Lorenzo,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",72,"1,42",
2025-09-14,17:00:00,2287889,Baltika,Zenit,"Ev Sahibi Gol Alt/Üst :: Ev 0,5 Üst",72,"1,44",
2025-09-14,03:15:00,2288080,Sarmiento,Aldosivi,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",72,"1,51",
2025-09-14,03:15:00,2288080,Sarmiento,Aldosivi,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",72,"1,47",
2025-09-12,20:00:00,2372545,Bodo Glimt,Kristiansund,"Toplam Gol Alt/Üst :: 4,5 Alt",71,"1,52",
2025-09-13,03:15:00,2289079,Ath Lanus,Ind. Mendoza,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",71,"1,46",
2025-09-13,19:30:00,2288108,Huesca,Malaga,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",71,"1,45",
2025-09-13,19:30:00,2288108,Huesca,Malaga,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",71,"1,44",
2025-09-13,17:00:00,2288502,Samsunspor,Antalyaspor,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,71,"1,46",
2025-09-13,17:00:00,2352247,Gnistan,Inter Turku,"Toplam Gol Alt/Üst :: 3,5 Alt",71,"1,47",
2025-09-13,15:00:00,2288216,Getafe,Real Oviedo,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",71,"1,43",
2025-09-13,17:15:00,2288650,Cadiz,Eibar,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",71,"1,42",
2025-09-13,16:30:00,2284727,Heidenheim,B.Dortmund,"Toplam Gol Alt/Üst :: 3,5 Alt",71,"1,44",
2025-09-14,23:30:00,2288562,Sao Paulo,Botafogo,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",71,"1,42",
2025-09-14,23:30:00,2288562,Sao Paulo,Botafogo,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",71,"1,41",
2025-09-14,20:15:00,2287905,Haugesund,Rosenborg,"Toplam Gol Alt/Üst :: 3,5 Alt",71,"1,54",
2025-09-14,03:00:00,2288217,Fluminense,Corinthians,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",71,"1,44",
2025-09-14,17:00:00,2288157,Talaea Gaish,Future FC,"Ev Sahibi Gol Alt/Üst :: Ev 0,5 Üst",71,"1,45",
2025-09-14,14:30:00,2289084,Balestier,Lion C. Sailors,İkinci Yarı Karşılıklı Gol :: 2.Y KG Yok,71,"1,48",
2025-09-14,18:00:00,2352273,AS Gabes,ES Zarzis,"Ev Sahibi Gol Alt/Üst :: Ev 0,5 Üst",71,"1,54",
2025-09-14,18:00:00,2352273,AS Gabes,ES Zarzis,"Toplam Gol Alt/Üst :: 1,5 Üst",71,"1,58",
2025-09-15,02:00:00,2288706,Df. Justicia,Platense,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",71,"1,43",
2025-09-15,02:00:00,2288199,CA Tigre,Talleres,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",71,"1,47",
2025-09-12,20:30:00,2372547,Dijon,Villefranche,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,70,"1,44",
2025-09-12,03:30:00,2302870,Botafogo,Vasco Da Gama,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,70,"1,44",
2025-09-12,18:30:00,2339620,GOL Gohar,Sepehan,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",70,"1,45",
2025-09-12,20:30:00,2372648,Deportivo,C. Cordoba,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",70,"1,44",
2025-09-12,20:00:00,2372545,Bodo Glimt,Kristiansund,Her İki Yarıda da 1.5 Gol Üst Olur mu? :: Hayır,70,"1,44",
2025-09-12,20:00:00,2282204,Farco,Sakandary,"Ev Sahibi Gol Alt/Üst :: Ev 0,5 Üst",70,"1,5",
2025-09-13,22:00:00,2288584,Fortaleza,Vitoria BA,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,70,"1,51",
2025-09-13,21:45:00,2286035,La Louviere,Club Brugge,"Ev Sahibi Gol Alt/Üst :: Ev 0,5 Üst",70,"1,43",
2025-09-13,16:00:00,2284829,Fastav Zlin,Dukla Prag,İlk Yarı Gol Tek/Çift :: İY Çift,70,"1,44",
2025-09-13,17:00:00,2288577,Eyüpspor,Galatasaray,"Toplam Gol Alt/Üst :: 3,5 Alt",70,"1,49",
2025-09-13,19:00:00,2285002,Thun,Basel,"Toplam Gol Alt/Üst :: 3,5 Alt",70,"1,48",
2025-09-13,17:00:00,2285988,West Brom,Derby County,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,70,"1,56",
2025-09-13,20:30:00,2288331,Godoy Cruz,Barracas,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,70,"1,84",
2025-09-14,03:00:00,2288217,Fluminense,Corinthians,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,70,"1,77",
2025-09-14,21:00:00,2305873,Al Nassr,Al Kholood,"Ev Sahibi İlk Yarı Gol Alt/Üst :: Ev İY 1,5 Alt",70,"1,44",
2025-09-15,20:00:00,2289077,Erzurumspor,Sakaryaspor,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,70,"1,44",
2025-09-12,13:00:00,2372534,Machida Zelvia,Yokohama,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,69,"1,46",
2025-09-12,02:00:00,2288333,CA Belgrano,S Martin SJ,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,69,"1,95",
2025-09-12,20:30:00,2372648,Deportivo,C. Cordoba,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",69,"1,5",
2025-09-13,03:15:00,2289079,Ath Lanus,Ind. Mendoza,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,69,"1,84",
2025-09-13,19:30:00,2288108,Huesca,Malaga,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,69,"1,76",
2025-09-13,15:00:00,2288216,Getafe,Real Oviedo,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,69,"1,77",
2025-09-13,01:00:00,2372573,Huracan,Velez,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",69,"1,64",
2025-09-14,17:00:00,2288157,Talaea Gaish,Future FC,"Toplam Gol Alt/Üst :: 1,5 Üst",69,"1,51",
2025-09-14,19:30:00,2270596,Nueva Chicago,Gimnasia Y Esgrima J,"Toplam Gol Alt/Üst :: 1,5 Üst",69,"1,53",
2025-09-14,23:30:00,2288079,Rosario C.,Boca Juniors,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",69,"1,48",
2025-09-14,22:00:00,2289098,A.Mineiro,Santos,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,69,"1,47",
2025-09-14,03:15:00,2288080,Sarmiento,Aldosivi,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,69,"1,84",
2025-09-15,21:45:00,2291316,Como,Genoa,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,69,"1,45",
2025-09-15,02:00:00,2288199,CA Tigre,Talleres,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",69,"1,48",
2025-09-12,22:30:00,2288762,Barakaldo CF,Arenas Club De Getxo,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,68,"1,52",
2025-09-12,20:00:00,2372545,Bodo Glimt,Kristiansund,"Ev Sahibi Gol Alt/Üst :: Ev 3,5 Alt",68,"1,56",
2025-09-13,19:15:00,2285252,FCV Dender,U.S Gilloise,"Ev Sahibi Gol Alt/Üst :: Ev 0,5 Üst",68,"1,56",
2025-09-13,19:45:00,2285306,NEC Nijmegen,PSV,"Toplam Gol Alt/Üst :: 3,5 Alt",68,"1,73",
2025-09-13,19:30:00,2284994,Bayern Münih,Hamburg,"Ev Sahibi Gol Alt/Üst :: Ev 3,5 Alt",68,"1,66",
2025-09-13,16:00:00,2288172,Lusitania,Penafiel,"Ev Sahibi İlk Yarı Gol Alt/Üst :: Ev İY 0,5 Üst",68,"1,6",
2025-09-13,22:30:00,2288891,Famalicao,Sporting CP,"Ev Sahibi Gol Alt/Üst :: Ev 0,5 Üst",68,"1,56",
2025-09-13,17:15:00,2288650,Cadiz,Eibar,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,68,"1,68",
2025-09-13,20:30:00,2288331,Godoy Cruz,Barracas,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",68,"1,57",
2025-09-13,01:00:00,2372574,Racing,San Lorenzo,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,68,"1,76",
2025-09-13,16:00:00,2286089,Juve Stabia,Reggiana,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,68,"1,63",
2025-09-14,23:30:00,2288562,Sao Paulo,Botafogo,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,68,"1,7",
2025-09-14,03:00:00,2288217,Fluminense,Corinthians,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",68,"1,53",
2025-09-14,19:30:00,2288859,S.Gijon,Burgos,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,68,"1,64",
2025-09-12,13:00:00,2372534,Machida Zelvia,Yokohama,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",67,"1,62",
2025-09-12,02:00:00,2288333,CA Belgrano,S Martin SJ,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",67,"1,69",
2025-09-12,18:00:00,2359674,Olympique Akbou,MC Alger,"Toplam Gol Alt/Üst :: 1,5 Üst",67,"1,53",
2025-09-13,03:15:00,2289079,Ath Lanus,Ind. Mendoza,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",67,"1,59",
2025-09-13,15:00:00,2282113,Annecy FC,Reims,Deplasman Herhangi Bir Yarıyı Kazanır :: Evet,67,"1,57",
2025-09-13,17:00:00,2285458,Stoke City,Birmingham,Deplasman Herhangi Bir Yarıyı Kazanır :: Evet,67,"1,55",
2025-09-13,01:00:00,2372574,Racing,San Lorenzo,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",67,"1,62",
2025-09-14,20:00:00,2285494,Levadeiakos,AEK Athens,"Ev Sahibi Gol Alt/Üst :: Ev 0,5 Üst",67,"1,64",
2025-09-14,13:00:00,2288361,Jeonnam Dragons,Hwaseong,"Ev Sahibi İlk Yarı Gol Alt/Üst :: Ev İY 0,5 Üst",67,"1,56",
2025-09-14,06:00:00,2288974,Dep. Toluca,Puebla,"Ev Sahibi Gol Alt/Üst :: Ev 2,5 Alt",67,"1,5",
2025-09-14,18:00:00,2284992,Uni. Craiova,Farul Cons.,"Ev Sahibi İlk Yarı Gol Alt/Üst :: Ev İY 0,5 Üst",67,"1,55",
2025-09-14,16:00:00,2288690,Burnley,Liverpool,"Ev Sahibi Gol Alt/Üst :: Ev 0,5 Üst",67,"1,5",
2025-09-14,18:00:00,2352273,AS Gabes,ES Zarzis,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",67,"1,57",
2025-09-15,02:30:00,2289032,Vasco Da Gama,Ceara,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,67,"1,58",
2025-09-12,03:30:00,2302870,Botafogo,Vasco Da Gama,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",66,"1,58",
2025-09-12,19:00:00,2288729,R. Kazan,D. Makhachkala,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,66,"1,59",
2025-09-12,21:00:00,2372555,Troyes,Nancy,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,66,"1,55",
2025-09-12,18:30:00,2372541,EIF,Salpa,"Ev Sahibi Gol Alt/Üst :: Ev 2,5 Alt",66,"1,52",
2025-09-12,21:00:00,2372556,Boulogne,Laval,Deplasman Herhangi Bir Yarıyı Kazanır :: Evet,66,"1,61",
2025-09-12,21:45:00,2372567,Marsilya,Lorient,"Ev Sahibi Gol Alt/Üst :: Ev 2,5 Alt",66,"1,54",
2025-09-13,15:00:00,2288216,Getafe,Real Oviedo,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",66,"1,57",
2025-09-13,19:00:00,2352321,Seinöjoen,Helsinki,"Toplam Gol Alt/Üst :: 3,5 Alt",66,"1,59",
2025-09-13,17:00:00,2285988,West Brom,Derby County,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",66,"1,53",
2025-09-13,20:00:00,2284737,El Zamalek,Al Masry,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,66,"1,64",
2025-09-14,18:00:00,2284787,Asteras T.,Larissa,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,66,"1,6",
2025-09-14,22:00:00,2288066,Juventude,Flamengo,"Ev Sahibi Gol Alt/Üst :: Ev 0,5 Üst",66,"1,72",
2025-09-14,19:30:00,2270596,Nueva Chicago,Gimnasia Y Esgrima J,"İlk Yarı Gol Alt/Üst :: İY 0,5 Üst",66,"1,53",
2025-09-14,18:00:00,2284852,AE Kifisia,Panathinaikos,"Ev Sahibi Gol Alt/Üst :: Ev 0,5 Üst",66,"1,71",
2025-09-12,21:30:00,2282302,Trefelin FC,Ammanford,Toplam Gol Tek/Çift :: Çift,65,"1,6",
2025-09-12,01:30:00,2302820,Cruzeiro,A.Mineiro,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,65,"1,69",
2025-09-12,20:00:00,2372545,Bodo Glimt,Kristiansund,"Ev Sahibi İlk Yarı Gol Alt/Üst :: Ev İY 1,5 Alt",65,"1,59",
2025-09-12,21:45:00,2282480,Ruthin Town,Llandudno,"Deplasman Gol Alt/Üst :: Dep 2,5 Alt",65,"1,57",
2025-09-13,13:00:00,2285229,IFK Stocksund,Stockholm Int.,"Deplasman Gol Alt/Üst :: Dep 2,5 Alt",65,"1,55",
2025-09-13,17:15:00,2289107,Mirandes,Deportivo,Deplasman Herhangi Bir Yarıyı Kazanır :: Evet,65,"1,57",
2025-09-13,01:00:00,2372573,Huracan,Velez,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,65,"2,22",
2025-09-13,21:00:00,2359687,USM Alger,USM Khenchela,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,65,"1,57",
2025-09-14,00:30:00,2288612,Palmeiras,Internacional,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",65,"1,61",
2025-09-14,03:30:00,2287876,Seattle S.,LA Galaxy,İlk Yarı Gol Tek/Çift :: İY Çift,65,"1,59",
2025-09-14,18:00:00,2288379,RCD Espanyol II,Barbastro UD,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",65,"1,55",
2025-09-14,17:00:00,2288958,Nordsjælland,Midtjylland,"Toplam Gol Alt/Üst :: 3,5 Alt",65,"1,58",
2025-09-15,02:00:00,2288706,Df. Justicia,Platense,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,65,"1,75",
2025-09-15,21:45:00,2291316,Como,Genoa,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",65,"1,54",
2025-09-15,02:00:00,2288199,CA Tigre,Talleres,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,65,"1,84",
2025-09-15,20:00:00,2289077,Erzurumspor,Sakaryaspor,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",65,"1,57",
2025-09-16,03:30:00,2299915,CRB,Amazonas FC AM,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",65,"1,6",
2025-09-12,18:00:00,2349006,Al Shahaniya,Al Sadd,"Toplam Gol Alt/Üst :: 3,5 Alt",64,"1,62",
2025-09-12,20:00:00,2282241,Unterhaching,Aubstadt,Toplam Gol Tek/Çift :: Çift,64,"1,58",
2025-09-13,22:45:00,2288002,Independiente,Banfield,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,64,"1,69",
2025-09-13,21:30:00,2270863,Estudiantes Caseros,Unidos,"Ev Sahibi İlk Yarı Gol Alt/Üst :: Ev İY 0,5 Üst",64,"1,6",
2025-09-14,19:30:00,2288745,Rostov,CSKA,Toplam Gol Tek/Çift :: Tek,64,"1,73",
2025-09-14,01:00:00,2288561,Estudiantes,River Plate,Deplasman Herhangi Bir Yarıyı Kazanır :: Evet,64,"1,57",
2025-09-14,04:30:00,2287827,Atl Nacional,A. Bucaraman,"Deplasman Gol Alt/Üst :: Dep 0,5 Üst",64,"1,57",
2025-09-12,13:00:00,2372533,Shanghai Sipg,Yunnan Yukun,"Ev Sahibi Gol Alt/Üst :: Ev 2,5 Alt",63,"1,75",
2025-09-12,18:30:00,2339620,GOL Gohar,Sepehan,Toplam Gol Tek/Çift :: Tek,63,"1,67",
2025-09-12,20:00:00,2288905,SG Sonnenhof Grossas,Offenbacher,Toplam Gol Tek/Çift :: Çift,63,"1,6",
2025-09-12,18:00:00,2349006,Al Shahaniya,Al Sadd,"Deplasman Gol Alt/Üst :: Dep 2,5 Alt",63,"1,79",
2025-09-12,19:30:00,2282307,SC Freiburg (K),FC Köln (K),Toplam Gol Tek/Çift :: Çift,63,"1,6",
2025-09-13,17:00:00,2284681,Sheffield Wed.,Bristol City,Toplam Gol Tek/Çift :: Tek,63,"1,72",
2025-09-13,17:00:00,2285537,IF Karlstad,Karlbergs BK,Toplam Gol Tek/Çift :: Çift,63,"1,6",
2025-09-13,17:00:00,2285855,Dundee,Motherwell,Toplam Gol Tek/Çift :: Tek,63,"1,71",
2025-09-13,12:55:00,2285504,Fagiano,Nagoya,Deplasman Herhangi Bir Yarıyı Kazanır :: Evet,63,"1,68",
2025-09-13,21:00:00,2282618,Clermont,St. Etienne,Toplam Gol Tek/Çift :: Tek,63,"1,71",
2025-09-14,13:30:00,2289115,Juventus U23,Arezzo,Toplam Gol Tek/Çift :: Tek,63,"1,66",
2025-09-14,15:30:00,2288531,Bryne,Tromso IL,Toplam Gol Tek/Çift :: Tek,63,"1,72",
2025-09-14,16:00:00,2287885,Pisa,Udinese,Deplasman Herhangi Bir Yarıyı Kazanır :: Evet,63,"1,68",
2025-09-14,17:00:00,2288479,Hafnarfjordur,Fram Rey.,Toplam Gol Tek/Çift :: Çift,63,"1,6",
2025-09-14,14:30:00,2289084,Balestier,Lion C. Sailors,"Toplam Gol Alt/Üst :: 3,5 Alt",63,"1,89",
2025-09-14,19:00:00,2288312,Sassuolo,Lazio,Toplam Gol Tek/Çift :: Tek,63,"1,72",
2025-09-15,13:00:00,2291390,Tokyo,Tokyo Verdy,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,63,"1,63",
2025-09-12,20:30:00,2372648,Deportivo,C. Cordoba,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,62,"1,9",
2025-09-12,22:30:00,2288762,Barakaldo CF,Arenas Club De Getxo,Karşılıklı Gol :: KG Var,62,"1,77",
2025-09-12,21:00:00,2282431,Jong Utrecht,Waalwijk,Toplam Gol Tek/Çift :: Tek,62,"1,65",
2025-09-12,20:00:00,2282285,Kristianstad,IFK Karlshamn,Toplam Gol Tek/Çift :: Tek,62,"1,63",
2025-09-13,01:00:00,2372575,Volta Redonda,Criciuma,Her İki Yarıda da 1.5 Gol Alt Olur mu? :: Hayır,62,"1,64",
2025-09-13,17:00:00,2285184,Truro City,Rochdale,Toplam Gol Tek/Çift :: Tek,62,"1,66",
2025-09-13,16:00:00,2285014,Pro Vercelli,Virt. Verona,Karşılıklı Gol :: KG Var,62,"1,83",
